!	I have a comment
*$	Starbucks
**//	it means wink wink, nudge nudge
,!!!!	Talk to the hand
02	Your (or my) two cents worth, also seen as m.02
10Q	Thank you
1174	Nude club
121	One to one
1337	Elite -or- leet -or- L337
14	it refers to the fourteen words
143	I love you
1432	I Love You Too
14AA41	One for All and All for One
182	I hate you
187	it means murder/ homicide
19	0 hand
1daful	it means wonderful
2	it means to, too, two
20	Location
24/7	Twenty Four Seven, as in all the time
2b	To be
2B or not 2B	To Be Or Not To Be
2b@	To Be At
2BZ4UQT	Too Busy For You Cutey
2B~not2B	To be or not to be
2d4	To die for
2day	Today
2DLoo	Toodle oo
2G2B4G	Too Good To Be Forgotten
2G2BT	Too Good To Be True
2moro	Tomorrow
2nite	Tonight
2QT	Too Cute
2U2	To You Too
303	Mom
4	For, Four
404	I haven't a clue
411	Information
420	Marijuana
459	I love you
4COL	For Crying Out Loud
4e	Forever
4EAE	ForEver And Ever
4eva	Forever
4ever	Forever
4NR	Foreigner
4Q	F*** You
511	Too much information
53X	Sex
5FS	5 Finger Salute
747	Let's Fly
8	it means ate, it also refers to oral sex
831	I Love You
86	Out of, over, to get rid of, or kicked out
88	Hugs and kisses
8t	it means it
9	Parent is watching
99	Parent is no longer watching
::poof::	I'm gone
<3	it's a heart
?	I have a question
?^	Hook up?
@	it means at
@+	French equivalent of CUL8R
@TEOTD	At The End Of The Day
A/N	Author's Note
A/S/L/P	Age/Sex/Location/Picture
A2D	Agree to Disagree
A3	Anytime, Anyplace, Anywhere
AAAAA	American Association Against Acronym Abuse
AAF	As A Friend -or- Always And Forever
AAK	Asleep At Keyboard
AAMOF	As A Matter Of Fact
AAMOI	As A Matter Of Interest
AAR	At Any Rate
AAR8	At Any Rate
AAS	Alive And Smiling
AATK	Always At The Keyboard
AAYF	As Always, Your Friend
AB	Ass Backwards -or- Ah Bless
ab/abt	about
ABC	Always Be Creating -or- Collaborating -or- Communicating
ABITHIWTITB	A Bird In The Hand Is Worth Two In The Bush
ABK	Always Be Knolling
ABT2	About To
ACD	Alt Control Delete
ACE	Access Control Entry
ACK	Acknowledgement
ACORN	A Completely Obsessive Really Nutty person
ADAD	Another Day Another Dollar
ADBB	All Done Bye Bye
add	Address
addy	address
ADIDAS	All Day I Dream About Sex
ADIH	Another Day In Hell
ADIP	Another Day In Paradise
